datetime,underlying_price,NIFTY27JAN2625200CE,NIFTY27JAN2625300CE,NIFTY27JAN2625400CE,NIFTY27JAN2625500CE,NIFTY27JAN2625600CE,NIFTY27JAN2625700CE,NIFTY27JAN2625800CE,NIFTY27JAN2625900CE,NIFTY27JAN2626000CE,NIFTY27JAN2626100CE,NIFTY27JAN2626200CE,NIFTY27JAN2626300CE,NIFTY27JAN2626400CE,NIFTY27JAN2626500CE,NIFTY27JAN2623800PE,NIFTY27JAN2623900PE,NIFTY27JAN2624000PE,NIFTY27JAN2624100PE,NIFTY27JAN2624200PE,NIFTY27JAN2624300PE,NIFTY27JAN2624400PE,NIFTY27JAN2624500PE,NIFTY27JAN2624600PE,NIFTY27JAN2624700PE,NIFTY27JAN2624800PE,NIFTY27JAN2624900PE,NIFTY27JAN2625000PE,NIFTY27JAN2625100PE
07-01-2026 09:15,26111.65,0.12662,0.1233,0.11741,0.1137738901267429,0.11005,0.10576,0.10147373280204249,0.09724,0.0957,0.09397,0.09187,0.09041,0.08908,0.08794999999999999,0.1784,0.17237,0.16928,0.1634082426523214,0.1576,0.1524,0.14697,0.14105,0.13613,0.13085,0.1264,0.12142,0.11631,0.1115
07-01-2026 09:20,26141.4,0.08632,0.10340146317313374,0.11494432362228094,0.11779,0.11197,0.11028,0.10622587713723569,0.1017272066388284,0.09837,0.09619,0.09413,0.09236,0.09057,0.08925,0.17962,0.17477,0.17004060538671154,0.16534,0.1600553397387514,0.1542,0.14753,0.14274,0.13849,0.13282,0.12823295890834113,0.12363,0.11867107897966887,0.11352999999999999
07-01-2026 09:25,26139.35,0.09147,0.09286940158504518,0.09514,0.09933,0.09599,0.09204,0.09216,0.08954,0.08996,0.08861,0.08697,0.08627,0.08541,0.0843875049544946,0.1801,0.17574,0.17154,0.16567,0.15927,0.1541264638359824,0.14919,0.14245,0.13806,0.13242,0.12877,0.12349,0.11817000000000001,0.11287123758147087
07-01-2026 09:30,26128.95,0.1086,0.10842,0.1115,0.12248,0.10715,0.11098,0.10345,0.10114633167250553,0.09864,0.09511,0.09304,0.09123,0.08971599048222265,0.08843,0.18174,0.17763571956905974,0.17206,0.16502,0.15755,0.15183920703114684,0.14691,0.14209,0.13721,0.13184,0.12722,0.12252,0.11729,0.11200000000000002
07-01-2026 09:35,26131.9,0.10462,0.10538,0.12459,0.12051,0.11225,0.11294,0.10544,0.10191447390449417,0.09896,0.09655011086740863,0.09412,0.09136,0.09014,0.08885,0.18193,0.17775057041075126,0.17226,0.16522,0.15924,0.15334,0.14784,0.1423,0.1371324916896218,0.13219,0.12733,0.12295,0.11707,0.11121347311636237
07-01-2026 09:40,26145.15,0.07079,0.07639,0.08313,0.08523,0.08675455997281907,0.08734,0.08653040467645039,0.08542216960199109,0.0845,0.08386,0.0834252878885259,0.08301,0.08262,0.08249,0.18277,0.1782,0.17265,0.16631,0.15883,0.15343,0.14961,0.14337,0.1382,0.13313,0.12864,0.12374,0.11872000000000002,0.11372003997349321
07-01-2026 09:45,26113.1,0.12852003970842307,0.11837,0.10826,0.11514,0.1083,0.1055,0.10226,0.09978324511468296,0.09741,0.09438,0.09237,0.09075,0.08935254794220626,0.08809,0.18107,0.17468,0.1704,0.16426,0.157,0.15289,0.14697,0.14089,0.13571,0.13075,0.12599,0.12096,0.11584989928501917,0.11071
07-01-2026 09:50,26110.0,0.13200392090666752,0.12087,0.10978,0.10755708017930114,0.10711609089167816,0.10476,0.09939,0.0968,0.09542,0.09316,0.09122,0.08945,0.08804997885292506,0.08699,0.18051468770426501,0.1745,0.17045,0.16386,0.15681,0.15155,0.14694,0.1412975015064102,0.13566,0.13068,0.12601,0.12109079689257456,0.11607,0.11095
07-01-2026 09:55,26108.9,0.13029,0.12175,0.13487,0.1274763803196995,0.12009,0.11328,0.10935786809517849,0.10705906218884953,0.10426,0.10032,0.09739,0.09479,0.09256,0.09083,0.18084,0.17444,0.16945,0.16358,0.15675,0.15151327824783345,0.14636,0.14063,0.1353,0.13052260396742038,0.12571,0.12047,0.11515863213278417,0.10982999999999998
07-01-2026 10:00,26140.3,0.09239,0.0877,0.115,0.11531,0.11123,0.10752,0.10161,0.09947730093366358,0.09747,0.0949533850148945,0.09255,0.09062,0.08911,0.08701156348254781,0.1828,0.17745,0.1717,0.16515,0.16067,0.15356,0.1481,0.14259,0.13726016727955587,0.13216,0.12774,0.12248,0.1173165657041216,0.1122
07-01-2026 10:05,26142.95,0.0515785343365643,0.08237,0.11304,0.11174045119997394,0.11037,0.11308,0.11004,0.10336,0.10275,0.09909,0.09616,0.09381586357431541,0.09181,0.09022999999999999,0.18298,0.17622,0.1714,0.16534,0.15961,0.15374,0.14828,0.14278,0.13766,0.13236,0.12794,0.12247,0.11739,0.11183
07-01-2026 10:10,26159.15,0.10591,0.11189,0.09886,0.09983936894946653,0.10317016962663973,0.10608484671113794,0.10588,0.1030217789506269,0.10006090600706587,0.09746,0.09524,0.09264,0.09117,0.08945,0.1848519914955053,0.17887351454868275,0.17292,0.16683,0.1608718086855342,0.15501,0.14937,0.14421,0.13893,0.1335,0.12947,0.12462,0.11843,0.11309
07-01-2026 10:15,26183.8,0.12049,0.09722,0.11136,0.09406,0.09202,0.092918695366154,0.09326,0.08786,0.08838,0.08736942459321421,0.0863465760223025,0.08527,0.08415,0.08333968874331928,0.18267,0.1790544998429833,0.17425,0.16842,0.16269,0.15663,0.15173,0.14572,0.14048,0.13536,0.13028,0.12548,0.12019,0.115
07-01-2026 10:20,26169.15,0.13492,0.11376,0.12267,0.11507429252972941,0.10785,0.10201032848226466,0.09695,0.09399,0.09285,0.09094850951847845,0.08918,0.08778,0.08646,0.08546,0.18381,0.17694,0.17224729767820496,0.1675,0.16172947596123222,0.1558330455196891,0.15024,0.1450937900520057,0.13994,0.13449,0.12949,0.12431,0.11901,0.11379
07-01-2026 10:25,26152.25,0.14819,0.11685,0.1055,0.10144,0.09830958758739497,0.09546877091055717,0.09325,0.09388,0.0911,0.08948047670663792,0.08801,0.08672,0.0857,0.08459,0.18279,0.1759,0.1705781293418108,0.1655337146372682,0.16026,0.15459,0.14949,0.14378,0.13834,0.13291,0.12889,0.1234,0.11784,0.11258
07-01-2026 10:30,26130.45,0.14045,0.13392,0.12199,0.1163883345985868,0.11119729068229985,0.10631,0.10164,0.09839,0.09615736966437907,0.09407,0.09206272963927639,0.09012227742749115,0.0883,0.08712,0.18145,0.17666,0.17139,0.16528,0.15920697772628706,0.15318,0.14805,0.14233,0.13686,0.1314,0.12709,0.1217,0.11602,0.11036267471104409
